index,title,genres,formats,keywords,image
0,Spider-Man: No Way Home,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/R.f480587aa2fbc062adc6c3cb7df1b13e?rik=zk84DX0cUp4zMA&pid=ImgRaw&r=0
1,The Power of the Dog,Drama,Movies,Drama,https://assets.mycast.io/posters/the-power-of-the-dog-1981-fan-casting-poster-173633-medium.jpg?1645939287
2,Legally Blonde 3,Fantasy,Movies,Fantasy Comedy Romance,https://popcornusa.s3.amazonaws.com/gallery/1540332731-legally-.jpg
3,Fantastic Beasts: The Secrets of Dumbledore,Fantasy,Movies,Fantasy Action,https://mlpnk72yciwc.i.optimole.com/cqhiHLc.IIZS~2ef73/w:auto/h:auto/q:75/https://bleedingcool.com/wp-content/uploads/2022/02/FNBST3_VERT_MAIN_2764x4096_DOM_R03.jpg
4,The Batman,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/OIP.lSf13cy_Kzf3g_ahF8YcOQHaKe?rs=1&pid=ImgDetMain
5,tokyo revengers ss1,Animation ,Anime,Action Animation ,https://z.animecult.org/uploads/attachment/cover/78963/anime-Tokyo-Revengers.jpg
6,Black Panther: Wakanda Forever,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/OIP.udstHPF8mPl8hm3gOsKkwQHaLQ?rs=1&pid=ImgDetMain
7,Barbie as the Princess and the Pauper (2004),Animation ,Anime,Animation Fantasy Romance,https://th.bing.com/th/id/R.e780c1f30c29ee2d000a0a48304b79ad?rik=T%2fwGUY%2b3vr97%2fQ&pid=ImgRaw&r=0
8,Thor: Love and Thunder,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/OIP.wVU7R4ADRvD0AePKIrGh6AAAAA?rs=1&pid=ImgDetMain
9,Shang-Chi and the Legend of the Ten Rings,Action,Movies,Action Adventure Fantasy,https://mlpnk72yciwc.i.optimole.com/cqhiHLc.WqA8~2eefa/w:auto/h:auto/q:75/https://bleedingcool.com/wp-content/uploads/2021/08/shangchi_and_the_legend_of_the_ten_rings_ver9_xlg.jpg
10,Black Adam,Action,Movies,Action Adventure Fantasy,https://i0.wp.com/batman-news.com/wp-content/uploads/2022/09/Black-Adam-Character-Poster-Black-Adam-01.jpg?fit=2764%2C4096&quality=80&strip=info&ssl=1
11,Doctor Strange in the Multiverse of Madness,Fantasy,Movies,Fantasy Action,https://th.bing.com/th/id/OIP.pOKqrLIg7gmO1v1ZMEfi5QAAAA?rs=1&pid=ImgDetMain
12,Top Gun: Maverick,Action,Movies,Action,https://th.bing.com/th/id/R.639e3a44a54e4dc2864a00eb14e903f0?rik=hzBfsI7PsQtcJA&pid=ImgRaw&r=0
13,tokyo revengers ss3,Animation ,Anime,Action Animation,https://www.cartoonsarea.xyz/USER-DATA/Images/Poster/Tokyo%20Revengers%203.jpg
14,Moonfall,Science Fiction,Movies,Science Fiction,https://img.filmsactu.net/datas/films/m/o/moonfall/xl/moonfall-61d715772cf5a.jpg
15,The Batman Returns,Action,Movies,Action Adventure Fantasy,https://cdn.geeksandgamers.com/wp-content/uploads/hm_bbpui/184801/amo9lwkjkiewbg9vnrba6al7ibmtvg4p.jpg
16,The Matrix Resurrections,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/R.c18884f30ec3ff18540431ea0fe2a38e?rik=QVh3eoK0c7ga%2bg&pid=ImgRaw&r=0
17,Uncharted,Action,Movies,Action Adventure,https://th.bing.com/th/id/R.5d751a594f1f1329694d94c91f62d144?rik=ELr1PgqgLP1otg&pid=ImgRaw&r=0
18,Barbie in the Nutcracker (2001),Animation ,Anime,Animation Fantasy Romance,https://th.bing.com/th/id/R.5ac34742d8d31b35bfab9a6fa1c2d245?rik=pSCINSnYAqfPsw&pid=ImgRaw&r=0
19,The Flash,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/OIP.LLW1Poo43uQFV8nsWP-w3QHaLH?rs=1&pid=ImgDetMain
20,tokyo revengers ss2,Animation ,Anime,Action Animation,https://artworks.thetvdb.com/banners/v4/season/2006082/posters/646bed4d0c980.jpg
21,Morbius,Action,Movies,Action Fantasy,https://th.bing.com/th/id/R.f433e88b4941701b220907f1f11b497d?rik=OVnfFntN2eNk6w&pid=ImgRaw&r=0
22,Blade Runner 2049,Science Fiction,Movies,Science Fiction,https://image.tmdb.org/t/p/original/lOqJGrDhForxVbfhstTAHhi1qMS.jpg
23,The 355,Action,Movies,Action,https://i0.wp.com/teaser-trailer.com/wp-content/uploads/The-355-French-Poster.jpg?ssl=1
24,Jackass Forever,Comedy,Movies,Comedy,https://th.bing.com/th/id/R.961baed6854658f0434c2063c340ca8f?rik=vZwpDt5ASxTeSg&pid=ImgRaw&r=0
25,In the Heights,Musical,Movies,Musical,https://th.bing.com/th/id/OIP.mKwHlCIYPKApmyI4ihp5wQHaK-?rs=1&pid=ImgDetMain
26,The Marvels,Action,Movies,Action Adventure Fantasy,https://th.bing.com/th/id/R.182ae677a66ac883585260b5381a8448?rik=Shw6prD3IjCEWQ&riu=http%3a%2f%2fwww.blackfilm.com%2fread%2fwp-content%2fuploads%2f2018%2f12%2fCaptain-Marvel-poster-2.jpg&ehk=gwa807heEPrgYeCYbjyIiYq2OUKTjHp1lCh5lLNmDu4%3d&risl=&pid=ImgRaw&r=0
27,Bullet Train,Action,Movies,Action,https://th.bing.com/th/id/R.5bc6495b84783516304addd9e536b7c5?rik=McJt%2bnWi%2bgbbow&pid=ImgRaw&r=0
28,The Lost City,Romance,Movies,Romance Adventure,https://image.tmdb.org/t/p/original/rnheO8cFvCYcmZsDrBoabJbKLFE.jpg
29,The Tomorrow War: Part II,Science Fiction,Movies,Science Fiction,https://th.bing.com/th/id/R.ad20c5b4d3b560cf62e623259b302616?rik=wM%2fhC6NtFOyzWA&riu=http%3a%2f%2fwww.impawards.com%2f2021%2fposters%2ftomorrow_war_ver2_xlg.jpg&ehk=jrN2IUxm7V2qMl6zFzOEnuvWALr5xTaoNU8jMP9hj%2f4%3d&risl=&pid=ImgRaw&r=0
30,Avatar (2009),Action,Movies,Action Adventure Fantasy,https://image.tmdb.org/t/p/original/8Y7WrRK1iQHEX7UIftBeBMjPjWD.jpg
31,Belfast,Drama,Movies,Drama,https://i.dailymail.co.uk/1s/2022/02/09/01/53948107-10491959-History_Branagh_61_became_the_first_person_ever_to_receive_nomin-a-28_1644369400293.jpg
32,The French Dispatch,Drama,Movies,Drama,https://dove.org/wp-content/uploads/592943-the-french-dispatch-backdrop-scaled.jpg
33,Sonic the Hedgehog 2,Animation ,Anime,Animation Fantasy,https://th.bing.com/th/id/R.02aedc8a5e34273c29839a16c0f00a8f?rik=%2fhftCqYQvS6jGw&pid=ImgRaw&r=0
34,Free Guy,Comedy,Movies,Comedy,https://th.bing.com/th/id/OIP.-jShkq3lYonJ4bvFFwDZzgHaKk?rs=1&pid=ImgDetMain
35,A Week Away,Musical,Movies,Musical,https://www.film-rezensionen.de/wp-content/uploads/2021/03/A-Week-Away-1383x2048.jpg
36,The Rescue,Documentary,Movies,Documentary,https://th.bing.com/th/id/R.a38f4a0d86a55fedbe46da05e00a7b56?rik=02x7xqYjSPQ3JQ&pid=ImgRaw&r=0
37,Being the Ricardos,Drama,Movies,Drama,https://m.media-amazon.com/images/M/MV5BNDlmZDU5MmUtNWFmMy00OTQ1LTk1YTctOTI3ZmU1YzZiYmZmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg
38,Minions: The Rise of Gru,Animation ,Anime,Animation Comedy,https://th.bing.com/th/id/OIP.gBG_0EeRkFXXUu-7EBgB6AHaLH?rs=1&pid=ImgDetMain
39,Sing 2,Animation ,Anime,Animation Comedy,https://images.moviesanywhere.com/35c2e4600a1186810af997b73c88ff73/65ee3eb9-3c1b-4227-90f6-570acac4a873.jpg
40,Legally Blondes (Video 2009)�,Fantasy,Movies,Fantasy Comedy Romance,https://m.media-amazon.com/images/M/MV5BMTgzNTgzNDU4MF5BMl5BanBnXkFtZTcwOTkzNzA2NA@@._V1_FMjpg_UX1000_.jpg
41,The Prom,Musical,Movies,Musical,https://th.bing.com/th/id/OIP.oJqUJvp0XpzTYujPESIoEAHaK-?rs=1&pid=ImgDetMain
42,The King's Man,Drama,Movies,Drama,https://th.bing.com/th/id/OIP.O42gqy3oHJFLYB8cK7ULzQHaK-?rs=1&pid=ImgDetMain
43,Lightyear,Animation ,Anime,Animation Comedy,https://bombreport.com/wp-content/uploads/2022/07/lightyear-official-poster.jpg
44,Annette,Musical,Movies,Musical,https://th.bing.com/th/id/R.8225167bb1668bc0e40dbb333896a0c5?rik=iavJ6EpXd9RDFQ&pid=ImgRaw&r=0
45,Avatar: The Way of Water (2022),Action,Movies,Action Adventure Fantasy,https://posterspy.com/wp-content/uploads/2022/01/Avatar-The-Way-Of-Water.jpg
46,tokyo revengers ss1,Action,Live Action,Live-action Action Animation,https://appraf.com/media/movie/sm/262e35238ae6414399f1e17cca649d55.jpeg
47,tokyo revengers ss2,Action,Live Action,Live-action Action Animation,https://s359.kapook.com/pagebuilder/ae6a1516-8f64-4b7c-8e65-d9fec9cd1794.jpg
48,The Lost Daughter,Drama,Movies,Drama,https://th.bing.com/th/id/OIP.pCW4IEHuLN-re76jCHSH6AAAAA?rs=1&pid=ImgDetMain
49,The Outlaws,Comedy,Movies,Comedy,https://th.bing.com/th/id/OIP.2gaCstRB-esS9Qq6Y47QhgHaKn?rs=1&pid=ImgDetMain
