review	sentiment
นักแสดงแสดงดี	positive
เล่นดี	positive
สวยมากกกกกกกก	positive
งามค่ะ	positive
ปังมากแม่	positive
จึ้งมาก	positive
มันดีมาก	positive
สุดปัง	positive
เป๊ะปังปุริเย่	positive
อย่างเอาครับจารย์	positive
งดงามสุด ๆ	positive
หนังดี	positive
คุณภาพยอดเยี่ยม	positive
ปลื้มมมมมม	positive
เป็นปลื้ม	positive
สมมงมากแม่	positive
เอาไปเลย10 10	positive
งามล้นเมืองสุด ๆ	positive
พระเอกขึ้นจอสุด ๆ	positive
บทเหมาะมาก แคสมาได้ดีมากค่า	positive
คอสตูมอย่างปัง เสื้อผ้าหน้าผมก็สุดยอด ยิ่งเพลงนี่ยิ่งเพราะจนน้ำตาจะไหล	positive
ตายยยยย พระเอกเป็นคนร้องเพลงด้วย ร้องเพราะสุด ๆ	positive
สนุกสุด ๆ	positive
อย่างมันส์	positive
ผู้กำกับทำออกมาได้ดีมาก	positive
มุมกล้องสวยสุด ๆ	positive
ภาพวิวสวยมากกกกกกกกกกกกกกกกกกกกกกกกกกก	positive
รอค่ะ	positive
รอติดตามภาคถัดไป	positive
เมื่อไหร่ตอนถัดไปจะมา	positive
โคตรลุ้น	positive
ความน่าตื่นเต้นให้เต็มสิบ	positive
ปังมากพี่นัท	positive
ตัวละครมีความพัฒนาขึ้นเยอะมาก รู้สึกเหมือนเห็นลูกเติบโต	positive
แอบสังเกตเห็น มีข้อคิดหรือคติเตือนใจเยอะมาก	positive
แสงสีแบบให้เต็มสิบไม่หัก	positive
ให้ร้อยเต็มล้านเปอร์ อย่างเจ๋ง	positive
เยี่ยม	positive
เรื่องนี้คือรู้สึกสวยหล่อกันทุกคนมาก	positive
นางร้ายคือดีนะ เรื่องนี้ ฉลาด ไม่วีน ไม่เหวี่ยง ฉันเมนเธอเลย หมิงหมิงงงง	positive
มีใครแนะนำเรื่องคล้ายเรื่องนี้ไหมคะ คือชอบมากกกกก	positive
ชอบแนวนี้สุด ๆ เอามาอีกกกกกก เอาเยอะ ๆ	positive
เรื่องนี้คือทั้งนักแสดง สถานที่ คอสตูม คือดีหมดทุกอย่าง	positive
เล่นใหญ่มาก เรื่องนี้กี่ร้อยล้านเนี่ย งานดีสุด GG ก็อย่างอลัง	positive
fc ค่ะ	positive
ติดตาม	positive
นั่งรอที่ท่าน้ำทุกวัน	positive
หนังสนุก	positive
ภาค 2 เมื่อไหร่จะมา?	positive
หนังมีภาคต่อมั้ยคะ 	positive
ภาคต่อมารึยังคะ รึจะมาเมื่อไหร่ อยากดูมาก ๆๆๆๆๆๆ	positive
รายละเอียดเนื้อหาแน่นมากแม่ ข้อมูลอย่างแน่น แน่นจนมึนไปแป๊ป ความรู้จุก ๆ ไหนใครว่าดูหนังไม่มีประโยชน์ เอามือตบปากสิบที	positive
กรี้ดดดดดดดดดด ฉันชอบเขา	positive
พากย์เสียงดีมาก	positive
กราบคนแปลซับ	positive
งานสวยและอลังการมากค่ะ บ้านก็สวยมาก ๆๆๆ	positive
